total_bill,tip, gender,smoker,day,time,size, tip_percentage
17.29,2.71,Male,No,Thur,Lunch,2,15.7%
19.44,3,Male,Yes,Thur,Lunch,2,15.4%
16.66,3.4,Male,No,Thur,Lunch,2,20.4%
10.07,1.83,Female,No,Thur,Lunch,1,18.2%
32.68,5,Male,Yes,Thur,Lunch,2,15.3%
15.98,2.03,Male,No,Thur,Lunch,2,12.7%
34.83,5.17,Female,No,Thur,Lunch,4,14.8%
13.03,2,Male,No,Thur,Lunch,2,15.3%
18.28,4,Male,No,Thur,Lunch,2,21.9%
24.71,5.85,Male,No,Thur,Lunch,2,23.7%
21.16,3,Male,No,Thur,Lunch,2,14.2%
28.97,3,Male,Yes,Fri,Dinner,2,10.4%
22.49,3.5,Male,No,Fri,Dinner,2,15.6%
5.75,1,Female,Yes,Fri,Dinner,2,17.4%
16.32,4.3,Female,Yes,Fri,Dinner,2,26.3%
22.75,3.25,Female,No,Fri,Dinner,2,14.3%
40.17,4.73,Male,Yes,Fri,Dinner,4,11.8%
27.28,4,Male,Yes,Fri,Dinner,2,14.7%
12.03,1.5,Male,Yes,Fri,Dinner,2,12.5%
21.01,3,Male,Yes,Fri,Dinner,2,14.3%
12.46,1.5,Male,No,Fri,Dinner,2,12.0%
11.35,2.5,Female,Yes,Fri,Dinner,2,22.0%
15.38,3,Female,Yes,Fri,Dinner,2,19.5%
44.3,2.5,Female,Yes,Sat,Dinner,3,5.6%
22.42,3.48,Female,Yes,Sat,Dinner,2,15.5%
20.92,4.08,Female,No,Sat,Dinner,2,19.5%
15.36,1.64,Male,Yes,Sat,Dinner,2,10.7%
20.49,4.06,Male,Yes,Sat,Dinner,2,19.8%
25.21,4.29,Male,Yes,Sat,Dinner,2,17.0%
18.24,3.76,Male,No,Sat,Dinner,2,20.6%
14.31,4,Female,Yes,Sat,Dinner,2,28.0%
14,3,Male,No,Sat,Dinner,2,21.4%
7.25,1,Female,No,Sat,Dinner,1,13.8%
38.07,4,Male,No,Sun,Dinner,3,10.5%
23.95,2.55,Male,No,Sun,Dinner,2,10.6%
25.71,4,Female,No,Sun,Dinner,3,15.6%
17.31,3.5,Female,No,Sun,Dinner,2,20.2%
29.93,5.07,Male,No,Sun,Dinner,4,16.9%
10.65,1.5,Female,No,Thur,Lunch,2,14.1%
12.43,1.8,Female,No,Thur,Lunch,2,14.5%
24.08,2.92,Female,No,Thur,Lunch,4,12.1%
11.69,2.31,Male,No,Thur,Lunch,2,19.8%
13.42,1.68,Female,No,Thur,Lunch,2,12.5%
14.26,2.5,Male,No,Thur,Lunch,2,17.5%
15.95,2,Male,No,Thur,Lunch,2,12.5%
12.48,2.52,Female,No,Thur,Lunch,2,20.2%
29.8,4.2,Female,No,Thur,Lunch,6,14.1%
8.52,1.48,Male,No,Thur,Lunch,2,17.4%
14.52,2,Female,No,Thur,Lunch,2,13.8%
11.38,2,Female,No,Thur,Lunch,2,17.6%
22.82,2.18,Male,No,Thur,Lunch,3,9.6%
19.08,1.5,Male,No,Thur,Lunch,2,7.9%
20.27,2.83,Female,No,Thur,Lunch,2,14.0%
11.17,1.5,Female,No,Thur,Lunch,2,13.4%
12.26,2,Female,No,Thur,Lunch,2,16.3%
18.26,3.25,Female,No,Thur,Lunch,2,17.8%
8.51,1.25,Female,No,Thur,Lunch,2,14.7%
10.33,2,Female,No,Thur,Lunch,2,19.4%
14.15,2,Female,No,Thur,Lunch,2,14.1%
16,2,Male,Yes,Thur,Lunch,2,12.5%
13.16,2.75,Female,No,Thur,Lunch,2,20.9%
17.47,3.5,Female,No,Thur,Lunch,2,20.0%
34.3,6.7,Male,No,Thur,Lunch,6,19.5%
41.19,5,Male,No,Thur,Lunch,5,12.1%
27.05,5,Female,No,Thur,Lunch,6,18.5%
16.43,2.3,Female,No,Thur,Lunch,2,14.0%
8.35,1.5,Female,No,Thur,Lunch,2,18.0%
18.64,1.36,Female,No,Thur,Lunch,3,7.3%
11.87,1.63,Female,No,Thur,Lunch,2,13.7%
9.78,1.73,Male,No,Thur,Lunch,2,17.7%
7.51,2,Male,No,Thur,Lunch,2,26.6%
14.07,2.5,Male,No,Sun,Dinner,2,17.8%
13.13,2,Male,No,Sun,Dinner,2,15.2%
17.26,2.74,Male,No,Sun,Dinner,3,15.9%
24.55,2,Male,No,Sun,Dinner,4,8.1%
19.77,2,Male,No,Sun,Dinner,4,10.1%
29.85,5.14,Female,No,Sun,Dinner,5,17.2%
48.17,5,Male,No,Sun,Dinner,6,10.4%
25,3.75,Female,No,Sun,Dinner,4,15.0%
13.39,2.61,Female,No,Sun,Dinner,2,19.5%
16.49,2,Male,No,Sun,Dinner,4,12.1%
21.5,3.5,Male,No,Sun,Dinner,4,16.3%
12.66,2.5,Male,No,Sun,Dinner,2,19.7%
16.21,2,Female,No,Sun,Dinner,3,12.3%
13.81,2,Male,No,Sun,Dinner,2,14.5%
17.51,3,Female,Yes,Sun,Dinner,2,17.1%
24.52,3.48,Male,No,Sun,Dinner,3,14.2%
20.76,2.24,Male,No,Sun,Dinner,2,10.8%
31.71,4.5,Male,No,Sun,Dinner,4,14.2%
10.59,1.61,Female,Yes,Sat,Dinner,2,15.2%
10.63,2,Female,Yes,Sat,Dinner,2,18.8%
50.81,10,Male,Yes,Sat,Dinner,3,19.7%
15.81,3.16,Male,Yes,Sat,Dinner,2,20.0%
7.25,5.15,Male,Yes,Sun,Dinner,2,71.0%
31.85,3.18,Male,Yes,Sun,Dinner,2,10.0%
16.82,4,Male,Yes,Sun,Dinner,2,23.8%
32.9,3.11,Male,Yes,Sun,Dinner,2,9.5%
17.89,2,Male,Yes,Sun,Dinner,2,11.2%
14.48,2,Male,Yes,Sun,Dinner,2,13.8%
9.6,4,Female,Yes,Sun,Dinner,2,41.7%
34.63,3.55,Male,Yes,Sun,Dinner,2,10.3%
34.65,3.68,Male,Yes,Sun,Dinner,4,10.6%
23.33,5.65,Male,Yes,Sun,Dinner,2,24.2%
45.35,3.5,Male,Yes,Sun,Dinner,3,7.7%
23.17,6.5,Male,Yes,Sun,Dinner,4,28.1%
40.55,3,Male,Yes,Sun,Dinner,2,7.4%
20.69,5,Male,No,Sun,Dinner,5,24.2%
20.9,3.5,Female,Yes,Sun,Dinner,3,16.7%
30.46,2,Male,Yes,Sun,Dinner,5,6.6%
18.15,3.5,Female,Yes,Sun,Dinner,3,19.3%
23.1,4,Male,Yes,Sun,Dinner,3,17.3%
15.69,1.5,Male,Yes,Sun,Dinner,2,9.6%
19.81,4.19,Female,Yes,Thur,Lunch,2,21.2%
28.44,2.56,Male,Yes,Thur,Lunch,2,9.0%
15.48,2.02,Male,Yes,Thur,Lunch,2,13.0%
16.58,4,Male,Yes,Thur,Lunch,2,24.1%
7.56,1.44,Male,No,Thur,Lunch,2,19.0%
10.34,2,Male,Yes,Thur,Lunch,2,19.3%
43.11,5,Female,Yes,Thur,Lunch,4,11.6%
13,2,Female,Yes,Thur,Lunch,2,15.4%
13.51,2,Male,Yes,Thur,Lunch,2,14.8%
18.71,4,Male,Yes,Thur,Lunch,3,21.4%
12.74,2.01,Female,Yes,Thur,Lunch,2,15.8%
13,2,Female,Yes,Thur,Lunch,2,15.4%
16.4,2.5,Female,Yes,Thur,Lunch,2,15.2%
20.53,4,Male,Yes,Thur,Lunch,4,19.5%
16.47,3.23,Female,Yes,Thur,Lunch,3,19.6%
26.59,3.41,Male,Yes,Sat,Dinner,3,12.8%
38.73,3,Male,Yes,Sat,Dinner,4,7.7%
24.27,2.03,Male,Yes,Sat,Dinner,2,8.4%
12.76,2.23,Female,Yes,Sat,Dinner,2,17.5%
30.06,2,Male,Yes,Sat,Dinner,3,6.7%
25.89,5.16,Male,Yes,Sat,Dinner,4,19.9%
48.33,9,Male,No,Sat,Dinner,4,18.6%
13.27,2.5,Female,Yes,Sat,Dinner,2,18.8%
28.17,6.5,Female,Yes,Sat,Dinner,3,23.1%
12.9,1.1,Female,Yes,Sat,Dinner,2,8.5%
28.15,3,Male,Yes,Sat,Dinner,5,10.7%
11.59,1.5,Male,Yes,Sat,Dinner,2,12.9%
7.74,1.44,Male,Yes,Sat,Dinner,2,18.6%
30.14,3.09,Female,Yes,Sat,Dinner,4,10.3%
12.16,2.2,Male,Yes,Fri,Lunch,2,18.1%
13.42,3.48,Female,Yes,Fri,Lunch,2,25.9%
8.58,1.92,Male,Yes,Fri,Lunch,1,22.4%
15.98,3,Female,No,Fri,Lunch,3,18.8%
13.42,1.58,Male,Yes,Fri,Lunch,2,11.8%
16.27,2.5,Female,Yes,Fri,Lunch,2,15.4%
10.09,2,Female,Yes,Fri,Lunch,2,19.8%
20.45,3,Male,No,Sat,Dinner,4,14.7%
13.28,2.72,Male,No,Sat,Dinner,2,20.5%
22.12,2.88,Female,Yes,Sat,Dinner,2,13.0%
24.01,2,Male,Yes,Sat,Dinner,4,8.3%
15.69,3,Male,Yes,Sat,Dinner,3,19.1%
11.61,3.39,Male,No,Sat,Dinner,2,29.2%
10.77,1.47,Male,No,Sat,Dinner,2,13.6%
15.53,3,Male,Yes,Sat,Dinner,2,19.3%
10.07,1.25,Male,No,Sat,Dinner,2,12.4%
12.6,1,Male,Yes,Sat,Dinner,2,7.9%
32.83,1.17,Male,Yes,Sat,Dinner,2,3.6%
35.83,4.67,Female,No,Sat,Dinner,3,13.0%
29.03,5.92,Male,No,Sat,Dinner,3,20.4%
27.18,2,Female,Yes,Sat,Dinner,2,7.4%
22.67,2,Male,Yes,Sat,Dinner,2,8.8%
17.82,1.75,Male,No,Sat,Dinner,2,9.8%
18.78,3,Female,No,Thur,Dinner,2,16.0%
